"Date","DailyMoveCat","CloseDiffCat","ONDiffCat","SpreadCat"
2015-03-13,"Up","Up","Up","Up"
2015-03-12,"Down Large","Down Large","Up","Up"
2015-03-11,"Up","Up","No Move","Down"
2015-03-10,"Up Large","Up Large","Up","Up"
2015-03-09,"Down","Down","No Move","No Move"
2015-03-06,"Up Large","Up Large","No Move","Up"
2015-03-05,"Down","Down","No Move","Down"
2015-03-04,"Up","Up","No Move","No Move"
2015-03-03,"Up","Up","Up","Down"
2015-03-02,"Down","Down","Down","No Move"
2015-02-27,"Up","Up","Up","Down"
2015-02-26,"No Move","No Move","No Move","Down"
2015-02-25,"Down","Down","No Move","Down"
2015-02-24,"Down","Down","Up","Down"
2015-02-23,"Up","Up","No Move","Down"
2015-02-20,"Down","Down","No Move","Up"
2015-02-19,"Up","Up","Up","Down"
2015-02-18,"Up","Up","Up","Down"
2015-02-17,"Down","Down","No Move","Down"
2015-02-13,"Down","Down","Up","Down"
2015-02-12,"Down","Down","No Move","Down"
2015-02-11,"No Move","No Move","Up","Down"
2015-02-10,"Down","Down","Down","No Move"
2015-02-09,"Up","Up","Up","Down"
2015-02-06,"Up","Up","Up","Up"
2015-02-05,"Down","Down","Down","Up"
2015-02-04,"No Move","No Move","Up","No Move"
2015-02-03,"Down Large","Down Large","Down","Up"
2015-02-02,"Down","Down","Down","Up"
2015-01-30,"Up Large","Up Large","No Move","Up"
2015-01-29,"Down Large","Down Large","Down","Up"
2015-01-28,"Up","Up","Down Large","Up"
2015-01-27,"Up Large","Up Large","Up Extreme","Up Large"
2015-01-26,"No Move","No Move","Up","Down"
2015-01-23,"Up","Up","Up","Down"
2015-01-22,"Down Large","Down Large","Down","Up Large"
2015-01-21,"Down","Down","Up","Up"
2015-01-20,"No Move","No Move","Down","Up"
2015-01-16,"Down","Down","No Move","Up"
2015-01-15,"Up","Up","Down","Up"
2015-01-14,"Up","Up","Up","Up Large"
2015-01-13,"Up","Up","Down","Up Large"
2015-01-12,"Up","Up","Down","Up"
2015-01-09,"Up","Up","Down","Up"
2015-01-08,"Down Large","Down Large","Down","Up"
2015-01-07,"Down","Down","Down","Up"
2015-01-06,"Up","Up","Down","Up"
2015-01-05,"Up Large","Up Large","Up Large","Up Large"
2015-01-02,"No Move","No Move","No Move","Up"
2014-12-31,"Up","Up","Down","Up"
2014-12-30,"Up","Up","Up","Down"
2014-12-29,"No Move","Up","Up","Down"
2014-12-26,"Down","Down","Down","Down"
2014-12-24,"No Move","No Move","Down Large","Down"
2014-12-23,"Down","Down","Down Large","Down"
2014-12-22,"Down","Down","Down","Down"
2014-12-19,"Down","Down","No Move","Down"
2014-12-18,"Down Large","Down Large","Down","Up Large"
2014-12-17,"Down Large","Down Large","No Move","Up"
2014-12-16,"Up","Up","Up","Up Large"
2014-12-15,"Up","Up","Down","Up"
2014-12-12,"Up Large","Up Large","Up","Up"
2014-12-11,"Down","Down","Down","Up"
2014-12-10,"Up Large","Up Large","Up","Up"
2014-12-09,"Up","Up","Up","Up"
2014-12-08,"Up","Up","Up","Down"
2014-12-05,"Down","Down","Down","Down"
2014-12-04,"No Move","No Move","Up","Down"
2014-12-03,"Down","Down","Down","Down"
2014-12-02,"Down","Down","Down","Down"
2014-12-01,"Up","Up","Up","Down"
2014-11-28,"No Move","No Move","Down","Down"
2014-11-26,"Down","No Move","Up","Down"
2014-11-25,"No Move","No Move","Down","Down"
2014-11-24,"No Move","No Move","Down","Down"
2014-11-21,"Down","Down","Down","No Move"
2014-11-20,"Down","Down","Up","Down"
2014-11-19,"No Move","No Move","Up","Down"
2014-11-18,"Down","Down","Up","Down"
2014-11-17,"Down","No Move","Up","Down"
2014-11-14,"Up","Up","No Move","Down"
2014-11-13,"Down","Down","Down","Down"
2014-11-12,"No Move","No Move","Up","Down"
2014-11-11,"No Move","No Move","Down","Down"
2014-11-10,"Down","Down","Up","Down"
2014-11-07,"Down","Down","Down","Down"
2014-11-06,"Down","Down","Down","Down"
2014-11-05,"Down","Down","Down","Down"
2014-11-04,"Down","Down","Down","Down"
2014-11-03,"Up","Up","No Move","Down"
2014-10-31,"Down","Down","Down Large","Up"
2014-10-30,"Down Large","Down Large","Up","Up"
2014-10-29,"Up","Up","No Move","No Move"
2014-10-28,"Down","Down","Down","Up"
2014-10-27,"Down","No Move","Up","Down"
2014-10-24,"Down","Down","Up","No Move"
2014-10-23,"Down","Down Large","Down","Up"
2014-10-22,"Up","Up","No Move","Up"
2014-10-21,"Down","Down Large","Down","Up"
2014-10-20,"Down","Down","Up","Down"
2014-10-17,"Down Large","Down Large","Down","Up"
2014-10-16,"Up","Up","Up","Up"
2014-10-15,"Up","Up","Up","Up Large"
2014-10-14,"No Move","No Move","Down","Up"
2014-10-13,"Up Large","Up Large","Up","Up"
2014-10-10,"Up","Up","Up","Up"
2014-10-09,"Up Large","Up Large","Up","Up Large"
2014-10-08,"Down Large","Down Large","Up","Up Large"
2014-10-07,"Up Large","Up Large","Up","Up"
2014-10-06,"Up","Up","No Move","No Move"
2014-10-03,"Down","Down","Down","Up"
2014-10-02,"No Move","No Move","Down","Up"
2014-10-01,"Up Large","Up Large","Up","Up"
2014-09-30,"Up","Up","Up","Down"
2014-09-29,"Up","Up","Up","No Move"
2014-09-26,"Down","Down","Down","Up"
2014-09-25,"Up Large","Up Large","Up","Up"
2014-09-24,"Down","Down","Down","Up"
2014-09-23,"Up","Up","Up","Down"
2014-09-22,"Up","Up","Up","Down"
2014-09-19,"No Move","No Move","Down","Down"
2014-09-18,"Down","Down","Down","Down"
2014-09-17,"Down","Down","Up","Down"
2014-09-16,"Down","Down","Up","Up"
2014-09-15,"Down","Down","Down","Down"
2014-09-12,"Up","Up","Up","Down"
2014-09-11,"No Move","Up","Up Large","Down"
2014-09-10,"Down","Down","Down","Down"
2014-09-09,"Up","Up","Up","Down"
2014-09-08,"Up","Up","Up","Down"
2014-09-05,"Down","Down","Up","Down"
2014-09-04,"No Move","No Move","Down","Down"
2014-09-03,"No Move","No Move","No Move","Down"
2014-09-02,"Up","Up","Up","Down"
2014-08-29,"Down","Down","Down","Down"
2014-08-28,"Up","Up","Up","Down"
2014-08-27,"No Move","Down","Down","Down"
2014-08-26,"Down","Down","Down","Down"
2014-08-25,"Down","Down","Down","Down"
2014-08-22,"Up","Up","Up","Down"
2014-08-21,"Down","Down","Down","Down"
2014-08-20,"Down","Down","Up","Down"
2014-08-19,"Down","Down","No Move","Down"
2014-08-18,"Down","Down","Down","No Move"
2014-08-15,"Up","Up","Down","Up"
2014-08-14,"Down","Down","Down","Down"
2014-08-13,"Down","Down","Down","Down"
2014-08-12,"No Move","No Move","Up","Down"
2014-08-11,"No Move","Down","Down","Down"
2014-08-08,"Down","Down","Down","Up"
2014-08-07,"Up","Up","Down","No Move"
2014-08-06,"Down","No Move","Up","Down"
2014-08-05,"Up","Up","Up","Up"
2014-08-04,"Down","Down","No Move","Down"
2014-08-01,"Up","Up","Up","Down"
2014-07-31,"Up Large","Up Large","Up","Up"
2014-07-30,"Up","Up","Down","No Move"
2014-07-29,"Up","Up","Down","Down"
2014-07-28,"Down","Down","Up","Down"
2014-07-25,"Up","Up","Up","No Move"
2014-07-24,"No Move","No Move","Down","Down"
2014-07-23,"Up","Up","Down","Down"
2014-07-22,"Down","Down","Down","Down"
2014-07-21,"Up","Up","Up","Down"
2014-07-18,"Down","Down","Down","Down"
2014-07-17,"Up","Up","Up","Up"
2014-07-16,"Down","Down","Down","Down"
2014-07-15,"No Move","No Move","No Move","Down"
2014-07-14,"Down","Down","Down","Down"
2014-07-11,"Down","Down","Down","Down"
2014-07-10,"Up","Up","Up","No Move"
2014-07-09,"Down","Down","Down","Down"
2014-07-08,"Up","Up","Up","Down"
2014-07-07,"Up","Up","Up","Down"
2014-07-03,"Down","Down","Down","Down"
2014-07-02,"Down","Down","Up","Down"
2014-07-01,"Down","Down","Down","No Move"
2014-06-30,"Up","Up","No Move","Down"
2014-06-27,"No Move","No Move","Down","Down"
2014-06-26,"Up","Up","No Move","Down"
2014-06-25,"Down","Down","No Move","Down"
2014-06-24,"Up","Up","Up","No Move"
2014-06-23,"No Move","No Move","No Move","Down"
2014-06-20,"Down","Down","Up","Down"
2014-06-19,"No Move","Down","Down","Down"
2014-06-18,"Down","Down","Up","Down"
2014-06-17,"Down","Down","Up","Down"
2014-06-16,"Down","No Move","Up","Down"
2014-06-13,"Down","Down","No Move","Down"
2014-06-12,"Up","Up","Up","Down"
2014-06-11,"Up","Up","Up","Down"
2014-06-10,"No Move","No Move","Up","Down"
2014-06-09,"Down","Down","Down","Down"
2014-06-06,"Down","Down","Down","Down"
2014-06-05,"Down","Down","Down","Down"
2014-06-04,"Down","Down","Up","Down"
2014-06-03,"Up","Up","Up","Down"
2014-06-02,"Down","Down","No Move","Down"
2014-05-30,"Down","Down","Up","Down"
2014-05-29,"Down","Down","Down","Down"
2014-05-28,"Up","Up","No Move","Down"
2014-05-27,"Down","Down","Down","Down"
2014-05-23,"Down","Down","Down","Down"
2014-05-22,"No Move","No Move","No Move","Down"
2014-05-21,"Down","Down","Down","No Move"
2014-05-20,"Up","Up","No Move","No Move"
2014-05-19,"Down","Down","Up","Down"
2014-05-16,"Down","Down","No Move","Down"
2014-05-15,"Up","Up","No Move","Up"
2014-05-14,"Up","Up","No Move","Down"
2014-05-13,"Down","Down","No Move","Down"
2014-05-12,"Down","Down","Down","Down"
2014-05-09,"Down","Down","No Move","Down"
2014-05-08,"Down","Down","No Move","Down"
2014-05-07,"Down","Down","No Move","No Move"
2014-05-06,"Up","Up","No Move","Down"
2014-05-05,"Down","Down","Up","No Move"
2014-05-02,"Up","Up","Down","Down"
